Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.723,0.659,0.244,0.392,0.275,0.536,0.761,0.309,0.536,"[[213  67]
 [ 26  30]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",20,2019-05-11 18:38:58.404612
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.66,0.569,0.069,0.264,0.187,0.365,0.719,0.207,0.365,"[[187  73]
 [ 33  19]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-11 18:39:15.917968
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.597,0.555,0.076,0.284,0.217,0.479,0.621,0.202,0.479,"[[149  91]
 [ 25  23]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",56,2019-05-11 18:39:33.878590
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.652,0.549,-0.015,0.193,0.2,0.25,0.732,0.157,0.25,"[[161  59]
 [ 33  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",73,2019-05-11 18:39:51.495054
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.542,0.479,0.024,0.258,0.212,0.477,0.555,0.176,0.477,"[[122  98]
 [ 23  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",91,2019-05-11 18:40:09.302811
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.682,0.623,0.098,0.282,0.208,0.375,0.743,0.226,0.375,"[[208  72]
 [ 35  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-11 18:40:38.386288
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.721,0.642,0.186,0.346,0.274,0.442,0.777,0.284,0.442,"[[202  58]
 [ 29  23]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",41,2019-05-11 18:40:57.711495
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.587,0.563,0.128,0.32,0.22,0.583,0.588,0.22,0.583,"[[141  99]
 [ 20  28]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",61,2019-05-11 18:41:17.363899
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.739,0.528,0.05,0.207,0.266,0.205,0.845,0.209,0.205,"[[186  34]
 [ 35   9]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",81,2019-05-11 18:41:37.002117
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.617,0.498,0.025,0.241,0.224,0.364,0.668,0.18,0.364,"[[147  73]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",100,2019-05-11 18:41:56.802838
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.592,0.517,0.03,0.251,0.175,0.411,0.629,0.181,0.411,"[[176 104]
 [ 33  23]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-11 18:42:26.824987
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.721,0.572,0.004,0.171,0.201,0.173,0.831,0.17,0.173,"[[216  44]
 [ 43   9]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",41,2019-05-11 18:42:45.449739
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.608,0.574,0.099,0.298,0.199,0.5,0.629,0.212,0.5,"[[151  89]
 [ 24  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",60,2019-05-11 18:43:04.662530
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.678,0.608,0.116,0.298,0.218,0.409,0.732,0.234,0.409,"[[161  59]
 [ 26  18]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",79,2019-05-11 18:43:24.396912
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.58,0.455,-0.01,0.224,0.159,0.364,0.623,0.162,0.364,"[[137  83]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",98,2019-05-11 18:43:42.960872
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.601,0.732,0.229,0.38,0.357,0.732,0.575,0.256,0.732,"[[161 119]
 [ 15  41]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-11 18:44:09.956830
