Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.659,0.548,0.081,0.274,0.208,0.386,0.714,0.212,0.386,"[[157  63]
 [ 27  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",92,2019-05-10 15:17:02.421544
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.705,0.601,0.126,0.298,0.241,0.375,0.771,0.247,0.375,"[[216  64]
 [ 35  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:17:27.728723
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.667,0.534,0.0,0.2,0.172,0.25,0.75,0.167,0.25,"[[195  65]
 [ 39  13]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",39,2019-05-10 15:17:45.175355
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.535,0.543,-0.044,0.212,0.183,0.375,0.567,0.148,0.375,"[[136 104]
 [ 30  18]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",57,2019-05-10 15:18:03.802900
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.754,0.507,-0.005,0.133,0.195,0.114,0.882,0.161,0.114,"[[194  26]
 [ 39   5]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",75,2019-05-10 15:18:21.787588
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.61,0.47,0.018,0.237,0.293,0.364,0.659,0.176,0.364,"[[145  75]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",93,2019-05-10 15:18:39.314725
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.702,0.651,0.133,0.306,0.245,0.393,0.764,0.25,0.393,"[[214  66]
 [ 34  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:19:04.422362
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.696,0.573,0.083,0.264,0.199,0.327,0.769,0.221,0.327,"[[200  60]
 [ 35  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-10 15:19:21.412936
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.576,0.555,0.069,0.282,0.304,0.5,0.592,0.197,0.5,"[[142  98]
 [ 24  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",55,2019-05-10 15:19:38.324353
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.716,0.589,0.039,0.211,0.232,0.227,0.814,0.196,0.227,"[[179  41]
 [ 34  10]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",72,2019-05-10 15:19:55.856981
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.659,0.572,0.123,0.308,0.27,0.455,0.7,0.233,0.455,"[[154  66]
 [ 24  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",90,2019-05-10 15:20:14.116039
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.705,0.702,0.273,0.414,0.281,0.625,0.721,0.31,0.625,"[[202  78]
 [ 21  35]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:20:39.442167
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.692,0.599,0.104,0.284,0.202,0.365,0.758,0.232,0.365,"[[197  63]
 [ 33  19]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",39,2019-05-10 15:20:57.636939
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.455,0.532,0.022,0.27,0.217,0.604,0.425,0.174,0.604,"[[102 138]
 [ 19  29]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",57,2019-05-10 15:21:15.450048
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.697,0.505,-0.035,0.149,0.195,0.159,0.805,0.14,0.159,"[[177  43]
 [ 37   7]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",76,2019-05-10 15:21:33.894611
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.58,0.581,0.045,0.265,0.235,0.455,0.605,0.187,0.455,"[[133  87]
 [ 24  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",94,2019-05-10 15:21:51.779018
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.699,0.715,0.287,0.423,0.291,0.661,0.707,0.311,0.661,"[[198  82]
 [ 19  37]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:22:17.518217
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.644,0.528,-0.091,0.126,0.163,0.154,0.742,0.107,0.154,"[[193  67]
 [ 44   8]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",39,2019-05-10 15:22:34.550065
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.507,0.51,-0.006,0.245,0.177,0.479,0.512,0.164,0.479,"[[123 117]
 [ 25  23]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",57,2019-05-10 15:22:52.895418
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.822,0.54,0.207,0.277,0.288,0.205,0.945,0.429,0.205,"[[208  12]
 [ 35   9]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",75,2019-05-10 15:23:11.369575
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.678,0.543,0.101,0.286,0.223,0.386,0.736,0.227,0.386,"[[162  58]
 [ 27  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",94,2019-05-10 15:23:29.675344
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.67,0.501,0.015,0.213,0.184,0.268,0.75,0.176,0.268,"[[210  70]
 [ 41  15]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:23:54.441491
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.683,0.608,0.069,0.256,0.197,0.327,0.754,0.21,0.327,"[[196  64]
 [ 35  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-10 15:24:11.435560
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.549,0.511,0.044,0.27,0.19,0.5,0.558,0.185,0.5,"[[134 106]
 [ 24  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",54,2019-05-10 15:24:28.266644
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.769,0.523,0.095,0.228,0.226,0.205,0.882,0.257,0.205,"[[194  26]
 [ 35   9]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",71,2019-05-10 15:24:45.268891
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.602,0.501,-0.004,0.222,0.24,0.341,0.655,0.165,0.341,"[[144  76]
 [ 29  15]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",89,2019-05-10 15:25:02.338966
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.664,0.682,0.238,0.389,0.271,0.643,0.668,0.279,0.643,"[[187  93]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:25:26.852444
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.641,0.611,0.131,0.317,0.302,0.5,0.669,0.232,0.5,"[[174  86]
 [ 26  26]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-10 15:25:44.133216
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.462,0.527,0.054,0.286,0.199,0.646,0.425,0.183,0.646,"[[102 138]
 [ 17  31]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",55,2019-05-10 15:26:01.461291
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.78,0.576,0.148,0.275,0.277,0.25,0.886,0.306,0.25,"[[195  25]
 [ 33  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",73,2019-05-10 15:26:19.151483
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.534,0.525,0.058,0.281,0.224,0.545,0.532,0.189,0.545,"[[117 103]
 [ 20  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",90,2019-05-10 15:26:36.269319
0,Struc36 S:4 X:20_56,0,0,"[1, 2, 3, 4]",0.625,0.569,0.051,0.259,0.186,0.393,0.671,0.193,0.393,"[[188  92]
 [ 34  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",23,2019-05-10 15:47:21.366522
0,Struc36 S:4 X:20_56,0,1,"[0, 2, 3, 4]",0.753,0.522,-0.062,0.072,0.166,0.058,0.892,0.097,0.058,"[[232  28]
 [ 49   3]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",41,2019-05-10 15:47:39.559341
