Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,AAs S:4 X:0_20,0,4,"[0, 1, 2, 3]",0.758,0.489,-0.022,0.111,0.234,0.091,0.891,0.143,0.091,"[[196  24]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",1910,2019-05-10 15:41:24.725373
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.786,0.783,0.387,0.5,0.647,0.643,0.814,0.409,0.643,"[[228  52]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",18,2019-05-10 15:41:46.984853
0,AAs S:4 X:0_20,0,1,"[0, 2, 3, 4]",0.843,0.764,0.331,0.395,0.502,0.308,0.95,0.552,0.308,"[[247  13]
 [ 36  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",34,2019-05-10 15:42:02.836609
0,AAs S:4 X:0_20,0,2,"[0, 1, 3, 4]",0.712,0.37,0.107,0.278,0.192,0.333,0.788,0.239,0.333,"[[189  51]
 [ 32  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",50,2019-05-10 15:42:18.770053
0,AAs S:4 X:0_20,0,3,"[0, 1, 2, 4]",0.682,0.453,-0.105,0.087,0.16,0.091,0.8,0.083,0.091,"[[176  44]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",66,2019-05-10 15:42:34.709423
0,AAs S:4 X:0_20,0,4,"[0, 1, 2, 3]",0.739,0.657,-0.046,0.104,0.296,0.091,0.868,0.121,0.091,"[[191  29]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",82,2019-05-10 15:42:50.858863
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.929,0.796,0.723,0.75,0.721,0.643,0.986,0.9,0.643,"[[276   4]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",19,2019-05-10 15:43:14.474523
0,AAs S:4 X:0_20,0,1,"[0, 2, 3, 4]",0.853,0.773,0.396,0.465,0.605,0.385,0.946,0.588,0.385,"[[246  14]
 [ 32  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",35,2019-05-10 15:43:30.553191
0,AAs S:4 X:0_20,0,2,"[0, 1, 3, 4]",0.757,0.497,0.046,0.186,0.242,0.167,0.875,0.211,0.167,"[[210  30]
 [ 40   8]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",51,2019-05-10 15:43:46.762583
0,AAs S:4 X:0_20,0,3,"[0, 1, 2, 4]",0.758,0.633,0.127,0.273,0.34,0.273,0.855,0.273,0.273,"[[188  32]
 [ 32  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",67,2019-05-10 15:44:03.126865
0,AAs S:4 X:0_20,0,4,"[0, 1, 2, 3]",0.818,0.555,0.098,0.143,0.261,0.091,0.964,0.333,0.091,"[[212   8]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",84,2019-05-10 15:44:19.556275
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.786,0.742,0.311,0.438,0.627,0.5,0.843,0.389,0.5,"[[236  44]
 [ 28  28]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",18,2019-05-10 15:44:43.131619
