Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.705,0.616,0.088,0.264,0.271,0.318,0.782,0.226,0.318,"[[172  48]
 [ 30  14]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",231,2019-05-11 16:44:05.202207
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.812,0.718,0.3,0.411,0.326,0.393,0.896,0.431,0.393,"[[251  29]
 [ 34  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",47,2019-05-11 16:44:59.188363
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.814,0.683,0.242,0.341,0.35,0.288,0.919,0.417,0.288,"[[239  21]
 [ 37  15]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",88,2019-05-11 16:45:40.966740
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.826,0.74,0.208,0.265,0.407,0.188,0.954,0.45,0.188,"[[229  11]
 [ 39   9]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",131,2019-05-11 16:46:23.344971
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.712,0.706,0.223,0.377,0.378,0.523,0.75,0.295,0.523,"[[165  55]
 [ 21  23]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",174,2019-05-11 16:47:06.235831
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.678,0.505,-0.128,0.066,0.159,0.068,0.8,0.064,0.068,"[[176  44]
 [ 41   3]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",217,2019-05-11 16:47:50.036565
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.815,0.851,0.382,0.492,0.499,0.536,0.871,0.455,0.536,"[[244  36]
 [ 26  30]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",46,2019-05-11 16:48:43.290093
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.811,0.625,0.183,0.272,0.291,0.212,0.931,0.379,0.212,"[[242  18]
 [ 41  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",88,2019-05-11 16:49:25.205572
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.792,0.647,0.198,0.318,0.337,0.292,0.892,0.35,0.292,"[[214  26]
 [ 34  14]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",130,2019-05-11 16:50:07.348178
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.769,0.695,0.112,0.247,0.374,0.227,0.877,0.27,0.227,"[[193  27]
 [ 34  10]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",173,2019-05-11 16:50:50.328993
